implementation	40
dp	40
math	35
greedy	35
brute force	30
data structures	40
constructive algorithms	35
dfs and similar	29
sortings	20
binary search	30
graphs	30
trees	30
strings	30
number theory	20
geometry	15
combinatorics	15
two pointers	10
dsu	10
bitmasks	10
probabilities	8
shortest paths	7
hashing	9
divide and conquer	10
games	6
matrices	5
flows	4
string suffix structures	5
expression parsing	4
graph matchings	5
ternary search	5
meet-in-the-middle	4
fft	4
2-sat	3
chinese remainder theorem	5
schedules	2
